class,cbo,wmc,rfc,lcom,loc
org.springframework.r2dbc.UncategorizedR2dbcException,3,3,1,1,13
org.springframework.web.servlet.support.WebContentGeneratorTests,5,12,13,55,74
org.springframework.test.context.hierarchies.standard.TestHierarchyLevelTwoWithBareContextConfigurationInSuperclassTests,8,1,6,0,22
org.springframework.format.number.money.MoneyFormattingTests,13,17,20,0,166
org.springframework.context.support.StaticApplicationContext,7,9,9,34,43
org.springframework.web.accept.HeaderContentNegotiationStrategy,4,4,6,0,17
org.springframework.web.socket.sockjs.transport.handler.SockJsWebSocketHandlerTests,10,2,7,1,21
org.springframework.aop.target.AbstractPoolingTargetSource,9,8,2,19,25
org.springframework.web.socket.sockjs.transport.handler.HttpSendingTransportHandlerTests,16,6,35,0,82
org.springframework.beans.factory.xml.TestBeanCreator,1,2,2,1,14
org.springframework.web.util.HtmlUtilsTests,1,5,7,10,51
org.springframework.web.method.annotation.ErrorsMethodArgumentResolver,8,5,9,1,15
org.springframework.test.context.TestContextTestUtils,8,2,3,1,10
org.springframework.beans.MethodInvocationException,1,2,1,1,9
org.springframework.messaging.handler.invocation.StubArgumentResolver,4,6,4,1,25
org.springframework.aop.target.dynamic.RefreshableTargetSourceTests,4,4,12,6,66
org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping,25,64,89,308,213
org.springframework.scheduling.quartz.SpringBeanJobFactory,11,12,14,4,41
org.springframework.core.convert.support.CollectionToObjectConverter,6,7,9,0,26
org.springframework.mock.web.MockHttpSessionTests,4,17,15,0,97
org.springframework.http.HttpMethod,2,14,12,3,59
org.springframework.beans.factory.generator.config.InjectedConstructionResolver,15,20,37,0,98
org.springframework.context.ApplicationEvent,0,3,2,0,15
org.springframework.jms.connection.CachedMessageProducer,9,38,11,0,128
org.springframework.r2dbc.core.binding.BindMarkersFactoryResolverUnitTests,6,6,7,15,38
org.springframework.beans.factory.xml.DummyReferencer,2,8,0,18,28
org.springframework.http.HttpMethodTests,2,5,13,10,33
org.springframework.test.web.servlet.result.RequestResultMatchers,8,15,12,55,66
org.springframework.core.convert.support.ConversionServiceFactory,5,7,3,1,22
org.springframework.beans.factory.annotation.AutowiredAnnotationBeanInstantiationContributionTests,13,7,31,21,84
org.springframework.test.context.junit4.profile.annotation.ProfileAnnotationConfigTestSuite,6,0,0,0,2
org.springframework.jmx.AbstractMBeanServerTests,11,13,20,43,69
org.springframework.jms.core.JmsTemplateTests,44,100,102,1488,484
org.springframework.test.web.reactive.server.MockServerSpecTests,6,2,11,0,51
org.springframework.test.context.junit4.statements.SpringRepeat,3,6,10,0,22
org.springframework.http.codec.xml.XmlEventDecoder,15,6,14,0,108
org.springframework.http.MediaType,5,58,46,305,290
org.springframework.web.servlet.resource.FixedVersionStrategyTests,3,6,8,0,25
org.springframework.core.convert.Property,4,44,33,107,162
org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupportTests,61,17,50,120,247
org.springframework.jdbc.core.metadata.DerbyCallMetaDataProvider,2,4,3,1,12
org.springframework.context.annotation.configuration.MyPostProcessor,4,2,2,1,8
org.springframework.beans.factory.support.SimpleInstantiationStrategy,9,19,17,13,80
org.springframework.http.ProblemDetail,3,24,18,105,93
org.springframework.http.converter.FormHttpMessageConverterTests,21,17,58,0,221
org.springframework.ejb.config.AbstractJndiLocatingBeanDefinitionParser,4,6,9,0,24
org.springframework.beans.factory.config.PropertyPlaceholderConfigurerTests,9,13,28,0,136
org.springframework.aop.aspectj.DeclarationOrderIndependenceTests,7,6,9,0,43
org.springframework.beans.NotReadablePropertyException,1,3,0,3,11
org.springframework.web.servlet.view.AbstractTemplateViewResolver,3,7,6,11,34
org.springframework.scheduling.quartz.JobMethodInvocationFailedException,2,1,2,0,5
org.springframework.core.testfixture.aot.generator.visibility.ProtectedGenericParameter,1,1,0,0,4
org.springframework.expression.spel.OperatorOverloaderTests,7,1,7,0,29
org.springframework.web.servlet.function.RouterFunctionBuilder,13,50,44,944,204
org.springframework.test.context.junit4.spr3896.BeanOverridingExplicitLocationsInheritedTests,3,1,5,0,6
org.springframework.messaging.simp.annotation.support.SubscriptionMethodReturnValueHandler,15,12,20,11,51
org.springframework.format.datetime.standard.InstantFormatter,1,4,7,1,13
org.springframework.test.web.servlet.htmlunit.UrlRegexRequestMatcherTests,4,1,2,0,7
org.springframework.context.annotation.configuration.BeanMethodQualificationTests,19,8,19,28,135
org.springframework.messaging.simp.SimpAttributesContextHolder,5,7,7,4,27
org.springframework.context.generator.InfrastructureContribution,4,1,3,0,10
org.springframework.validation.beanvalidation.BeanValidationPostProcessor,8,15,16,3,49
org.springframework.transaction.config.JtaTransactionManagerFactoryBean,4,4,2,0,15
org.springframework.web.servlet.tags.ParamTests,2,3,7,0,15
org.springframework.context.annotation.spr10546.ParentWithImportConfig,3,0,0,0,2
org.springframework.web.servlet.resource.ResourceUrlProviderJavaConfigTests,15,5,13,0,53
org.springframework.scheduling.aspectj.AspectJAsyncConfiguration,5,1,2,0,7
org.springframework.beans.factory.support.CglibSubclassingInstantiationStrategy,9,2,2,1,121
org.springframework.test.context.event.ApplicationEventsTestExecutionListener,12,10,18,15,46
org.springframework.mock.web.MockHttpServletMapping,3,6,0,0,27
org.springframework.jmx.export.metadata.JmxMetadataUtils,1,3,5,0,14
org.springframework.web.testfixture.http.server.reactive.bootstrap.ReactorHttpsServer,7,5,21,0,27
org.springframework.dao.DataIntegrityViolationException,1,2,0,1,8
org.springframework.web.servlet.tags.EvalTag,18,15,19,20,100
org.springframework.web.servlet.tags.form.ErrorsTag,8,17,21,35,70
org.springframework.aot.generator.ResolvableTypeGeneratorTests,4,3,7,3,11
org.springframework.context.annotation.TestBeanNameGenerator,3,1,1,0,6
org.springframework.beans.factory.wiring.BeanConfigurerSupportTests,9,6,23,15,63
org.springframework.context.annotation4.FactoryMethodComponent,8,7,2,21,27
org.springframework.scripting.support.StubMessenger,1,2,0,0,9
org.springframework.test.web.reactive.server.HeaderAssertionTests,9,13,41,78,102
